RespondentID,Price,Brand,SolutionQuality,Difficulty,Design,Rating
1,8000,Local,Basic,Easy,단색,3.67
1,8000,Local,Basic,Easy,풀컬러,4.57
1,8000,Local,Basic,Medium,단색,4.27
1,8000,Local,Basic,Medium,풀컬러,4.4
1,8000,Local,Basic,Hard,단색,3.94
1,8000,Local,Basic,Hard,풀컬러,5.15
1,8000,Local,Advanced,Easy,단색,4.64
1,8000,Local,Advanced,Easy,풀컬러,4.93
1,8000,Local,Advanced,Medium,단색,4.67
1,8000,Local,Advanced,Medium,풀컬러,5.03
1,8000,Local,Advanced,Hard,단색,4.57
1,8000,Local,Advanced,Hard,풀컬러,5.44
1,8000,National,Basic,Easy,단색,4.13
1,8000,National,Basic,Easy,풀컬러,4.83
1,8000,National,Basic,Medium,단색,4.63
1,8000,National,Basic,Medium,풀컬러,5.14
1,8000,National,Basic,Hard,단색,5.09
1,8000,National,Basic,Hard,풀컬러,5.37
1,8000,National,Advanced,Easy,단색,4.98
1,8000,National,Advanced,Easy,풀컬러,6.48
1,8000,National,Advanced,Medium,단색,5.43
1,8000,National,Advanced,Medium,풀컬러,6.17
1,8000,National,Advanced,Hard,단색,5.27
1,8000,National,Advanced,Hard,풀컬러,6.18
1,10000,Local,Basic,Easy,단색,3.58
1,10000,Local,Basic,Easy,풀컬러,3.88
1,10000,Local,Basic,Medium,단색,3.76
1,10000,Local,Basic,Medium,풀컬러,4.15
1,10000,Local,Basic,Hard,단색,3.76
1,10000,Local,Basic,Hard,풀컬러,4.35
1,10000,Local,Advanced,Easy,단색,4.8
1,10000,Local,Advanced,Easy,풀컬러,4.92
1,10000,Local,Advanced,Medium,단색,4.03
1,10000,Local,Advanced,Medium,풀컬러,5.28
1,10000,Local,Advanced,Hard,단색,4.18
1,10000,Local,Advanced,Hard,풀컬러,5.29
1,10000,National,Basic,Easy,단색,4.0
1,10000,National,Basic,Easy,풀컬러,4.85
1,10000,National,Basic,Medium,단색,4.75
1,10000,National,Basic,Medium,풀컬러,5.57
1,10000,National,Basic,Hard,단색,4.94
1,10000,National,Basic,Hard,풀컬러,5.51
1,10000,National,Advanced,Easy,단색,5.2
1,10000,National,Advanced,Easy,풀컬러,5.5
1,10000,National,Advanced,Medium,단색,5.17
1,10000,National,Advanced,Medium,풀컬러,5.91
1,10000,National,Advanced,Hard,단색,5.91
1,10000,National,Advanced,Hard,풀컬러,6.35
1,12000,Local,Basic,Easy,단색,2.86
1,12000,Local,Basic,Easy,풀컬러,4.18
1,12000,Local,Basic,Medium,단색,3.37
1,12000,Local,Basic,Medium,풀컬러,3.98
1,12000,Local,Basic,Hard,단색,3.87
1,12000,Local,Basic,Hard,풀컬러,4.69
1,12000,Local,Advanced,Easy,단색,4.37
1,12000,Local,Advanced,Easy,풀컬러,4.53
1,12000,Local,Advanced,Medium,단색,4.1
1,12000,Local,Advanced,Medium,풀컬러,4.98
1,12000,Local,Advanced,Hard,단색,4.68
1,12000,Local,Advanced,Hard,풀컬러,4.94
1,12000,National,Basic,Easy,단색,4.42
1,12000,National,Basic,Easy,풀컬러,4.81
1,12000,National,Basic,Medium,단색,4.22
1,12000,National,Basic,Medium,풀컬러,5.49
1,12000,National,Basic,Hard,단색,5.18
1,12000,National,Basic,Hard,풀컬러,5.42
1,12000,National,Advanced,Easy,단색,5.48
1,12000,National,Advanced,Easy,풀컬러,5.95
1,12000,National,Advanced,Medium,단색,5.08
1,12000,National,Advanced,Medium,풀컬러,6.05
1,12000,National,Advanced,Hard,단색,5.94
1,12000,National,Advanced,Hard,풀컬러,6.13
1,14000,Local,Basic,Easy,단색,3.7
1,14000,Local,Basic,Easy,풀컬러,3.15
1,14000,Local,Basic,Medium,단색,3.57
1,14000,Local,Basic,Medium,풀컬러,4.07
1,14000,Local,Basic,Hard,단색,3.44
1,14000,Local,Basic,Hard,풀컬러,4.27
1,14000,Local,Advanced,Easy,단색,3.33
1,14000,Local,Advanced,Easy,풀컬러,4.57
1,14000,Local,Advanced,Medium,단색,4.14
1,14000,Local,Advanced,Medium,풀컬러,5.18
1,14000,Local,Advanced,Hard,단색,4.07
1,14000,Local,Advanced,Hard,풀컬러,4.7
1,14000,National,Basic,Easy,단색,4.21
1,14000,National,Basic,Easy,풀컬러,5.32
1,14000,National,Basic,Medium,단색,4.56
1,14000,National,Basic,Medium,풀컬러,4.98
1,14000,National,Basic,Hard,단색,4.82
1,14000,National,Basic,Hard,풀컬러,5.37
1,14000,National,Advanced,Easy,단색,5.35
1,14000,National,Advanced,Easy,풀컬러,5.53
1,14000,National,Advanced,Medium,단색,5.07
1,14000,National,Advanced,Medium,풀컬러,5.73
1,14000,National,Advanced,Hard,단색,4.93
1,14000,National,Advanced,Hard,풀컬러,6.13
1,16000,Local,Basic,Easy,단색,3.15
1,16000,Local,Basic,Easy,풀컬러,3.8
1,16000,Local,Basic,Medium,단색,3.1
1,16000,Local,Basic,Medium,풀컬러,3.47
1,16000,Local,Basic,Hard,단색,3.24
1,16000,Local,Basic,Hard,풀컬러,3.99
1,16000,Local,Advanced,Easy,단색,3.53
1,16000,Local,Advanced,Easy,풀컬러,4.45
1,16000,Local,Advanced,Medium,단색,3.99
1,16000,Local,Advanced,Medium,풀컬러,5.16
1,16000,Local,Advanced,Hard,단색,4.12
1,16000,Local,Advanced,Hard,풀컬러,4.87
1,16000,National,Basic,Easy,단색,4.23
1,16000,National,Basic,Easy,풀컬러,4.37
1,16000,National,Basic,Medium,단색,4.34
1,16000,National,Basic,Medium,풀컬러,5.06
1,16000,National,Basic,Hard,단색,5.29
1,16000,National,Basic,Hard,풀컬러,5.18
1,16000,National,Advanced,Easy,단색,5.04
1,16000,National,Advanced,Easy,풀컬러,5.63
1,16000,National,Advanced,Medium,단색,4.7
1,16000,National,Advanced,Medium,풀컬러,6.08
1,16000,National,Advanced,Hard,단색,5.48
1,16000,National,Advanced,Hard,풀컬러,6.18
1,18000,Local,Basic,Easy,단색,2.64
1,18000,Local,Basic,Easy,풀컬러,4.07
1,18000,Local,Basic,Medium,단색,2.59
1,18000,Local,Basic,Medium,풀컬러,3.93
1,18000,Local,Basic,Hard,단색,3.87
1,18000,Local,Basic,Hard,풀컬러,3.66
1,18000,Local,Advanced,Easy,단색,3.44
1,18000,Local,Advanced,Easy,풀컬러,4.38
1,18000,Local,Advanced,Medium,단색,3.56
1,18000,Local,Advanced,Medium,풀컬러,3.99
1,18000,Local,Advanced,Hard,단색,3.93
1,18000,Local,Advanced,Hard,풀컬러,4.33
1,18000,National,Basic,Easy,단색,4.28
1,18000,National,Basic,Easy,풀컬러,4.57
1,18000,National,Basic,Medium,단색,4.71
1,18000,National,Basic,Medium,풀컬러,4.71
1,18000,National,Basic,Hard,단색,4.34
1,18000,National,Basic,Hard,풀컬러,5.39
1,18000,National,Advanced,Easy,단색,4.47
1,18000,National,Advanced,Easy,풀컬러,5.61
1,18000,National,Advanced,Medium,단색,5.33
1,18000,National,Advanced,Medium,풀컬러,5.16
1,18000,National,Advanced,Hard,단색,5.2
1,18000,National,Advanced,Hard,풀컬러,5.92
1,20000,Local,Basic,Easy,단색,2.98
1,20000,Local,Basic,Easy,풀컬러,3.14
1,20000,Local,Basic,Medium,단색,2.45
1,20000,Local,Basic,Medium,풀컬러,3.76
1,20000,Local,Basic,Hard,단색,3.14
1,20000,Local,Basic,Hard,풀컬러,3.88
1,20000,Local,Advanced,Easy,단색,3.55
1,20000,Local,Advanced,Easy,풀컬러,4.0
1,20000,Local,Advanced,Medium,단색,3.62
1,20000,Local,Advanced,Medium,풀컬러,4.4
1,20000,Local,Advanced,Hard,단색,3.53
1,20000,Local,Advanced,Hard,풀컬러,5.07
1,20000,National,Basic,Easy,단색,4.17
1,20000,National,Basic,Easy,풀컬러,4.38
1,20000,National,Basic,Medium,단색,4.33
1,20000,National,Basic,Medium,풀컬러,4.55
